INS Count,SinCos,SinhCosh,Sqrt,IPS,SinCos,SinhCosh,Sqrt
Run 1,244,363,,Run 1,4739,5510,
Run 2,242,,,Run 2,4839,,
Run 3,242,,,Run 3,4675,,
Run 4,242,,,Run 4,4829,,
Run 5,246,,,Run 5,4926,,
Run 6,241,,,Run 6,4387,,
Run 7,244,,,Run 7,4939,,
Run 8,,,,Run 8,,,
Average,243,363,#DIV/0!,Average,4762,5510,#DIV/0!
,,,,,,,
Inputs,SinCos,SinhCosh,Sqrt,Time,SinCos,SinhCosh,Sqrt
Run 1,938731,1,1,Run 1,,,
Run 2,983040,2,4,Run 2,,,
Run 3,1877468,4,9,Run 3,,,
Run 4,2816199,8,16,Run 4,,,
Run 5,2981888,16,25,Run 5,,,
Run 6,3754937,100,100,Run 6,,,
Run 7,4325376,2560,1600,Run 7,,,
Run 8,5840896,65536,14400,Run 8,,,
,,,,,,,
,32kHz,1MHz,1GHz,,,,
Cycles/sec,32000,1000000,1000000000,,,,
Sine,,,,,,,
CPI,6.719865603,209.9958001,209995.8001,,,,
Total Cycles,1632.927341,51028.97942,51028979.42,,,,
